,A,B,compare
0,794986317,-1209640613,0
1,29595313,58546724,1
2,-466687892,947851993,1
3,1830177708,-1331207851,0
4,-1052692459,-577717936,1
5,-1014700394,1986859885,1
6,-1759492364,1535433374,1
7,1277732599,130356344,0
8,1428400098,-1503201037,0
9,-2137142881,39137916,1
10,883046690,-1263210450,0
11,686235188,-1844652490,0
12,352250305,-2115486420,0
13,1983384728,899580456,0
14,492997540,1588792882,1
15,-2088396216,296259175,1
16,536950395,-1929863212,0
17,-1092394807,-462768349,1
18,714855089,165610677,0
19,968992613,-1066757285,0
20,97755969,-589854354,0
21,-1715144496,1756309902,1
22,479353890,618617209,1
23,1371248245,1908311320,1
24,492131166,667317556,1
25,564618214,325960939,0
26,-185994976,-1498645332,0
27,-1809819763,234469622,1
28,-831558007,-2002370618,0
29,-1460280181,-490195046,1
30,-482942686,1438311287,1
31,-766745545,-104805527,1
32,347385415,888369820,1
33,-1621003688,-660063864,1
34,582917584,843758915,1
35,448510664,-185451773,0
36,1344394504,1346255334,1
37,1376235593,2014390248,1
38,-1645608582,-759149836,1
39,118911844,1102435959,1
40,1848341972,-198348290,0
41,772257277,544879274,0
42,558302958,600427883,1
43,674718447,2132734053,1
44,-612173456,-1451908307,0
45,-2087685573,1946872837,1
46,-11081841,-619232360,0
47,149732590,780813613,1
48,403279533,-1717393850,0
49,-930990429,-1779993271,0
50,-2017934507,1296423242,1
51,64623488,483155583,1
52,-1204184640,-749634423,1
53,-2087153880,-101010685,1
54,546369052,-236477743,0
55,590912959,1231778891,1
56,1488769914,-1755291027,0
57,575773051,1018479548,1
58,-1816739479,-1406215456,1
59,317324685,484592273,1
60,1427022656,641204998,0
61,-1049578469,-1172345958,0
62,32456510,300323421,1
63,-434881358,-12779919,1
64,-1029888955,-2107435999,0
65,-956757608,1205078128,1
66,-1869183659,-1581915458,1
67,-710934912,-1755419418,0
68,2109477286,-1705414624,0
69,-809559477,166074270,1
70,2019753923,-195757901,0
71,-1776951812,408821011,1
72,1133809941,-1986584943,0
73,-1866927712,-2130170865,0
74,-1015043613,1841304922,1
75,65414414,-664519688,0
76,-687119019,-1778127259,0
77,1498666844,-1412911905,0
78,1200759163,1145853914,0
79,181296486,1022869440,1
80,469321253,111708280,0
81,-1226515983,-2069889416,0
82,-1493422023,-255015036,1
83,-1213754663,-945443621,1
84,830881958,-704028131,0
85,-121006524,1609913183,1
86,-215006854,-102377945,1
87,1735213415,-1266169984,0
88,-1752868246,301194621,1
89,2101743947,1424100582,0
90,-120083917,1310410321,1
91,1058234890,218138001,0
92,977645378,1203607086,1
93,156124823,-1043496911,0
94,1572265758,-2055518093,0
95,86324364,-929304911,0
96,84165723,-1547046813,0
97,-1571809614,1717379659,1
98,-277607447,-226015187,1
99,1557771094,853977403,0
100,427613236,1946308591,1
101,1038000982,570703955,0
102,1321800555,-210747143,0
103,-1949993294,1855091501,1
104,-2001111611,1115998231,1
105,-2020334995,-933402127,1
106,755672256,-1221279888,0
107,-323766658,-1392134016,0
108,-2131451822,-1819278068,1
109,2136857070,-1857382566,0
110,303250794,-405362269,0
111,1294332137,1833427080,1
112,1785268844,614281997,0
113,420236302,-1957332985,0
114,279668222,2094864085,1
115,1111819856,-1876055759,0
116,1056599987,-398716727,0
117,-2133628877,-1289039274,1
118,532357521,118313276,0
119,843280085,-1017809399,0
120,-1353223138,-1733512615,0
121,80126188,568523259,1
122,-889215855,1804097042,1
123,-1842236161,363948996,1
124,-1115451696,-1031010261,1
125,972432600,700769384,0
126,380767903,-166915272,0
127,-191911439,-1356406378,0
128,1054818563,-2137354322,0
129,424001021,-581572595,0
130,10835646,-136414913,0
131,-1408724923,1082959664,1
132,1653564088,1044277464,0
133,853382370,-1143612147,0
134,-1169923093,-251198494,1
135,-1326639004,-1306402189,1
136,222958938,2053263532,1
137,63252607,1897403706,1
138,611238469,-75969873,0
139,1922531630,-1525242737,0
140,1868107078,-59963351,0
141,1922654851,1654706255,0
142,568560915,1799818609,1
143,1295681361,-1334872214,0
144,2092986383,1673881459,0
145,-641798230,1754420879,1
146,-612802990,1561618012,1
147,-615858664,-1787016837,0
148,-469590348,-1911076836,0
149,-1200730644,355171458,1
150,-653816325,-741335623,0
151,-532420675,611817197,1
152,76578785,887698137,1
153,1253768184,-403621434,0
154,-127814999,2037355247,1
155,111074204,1937318995,1
156,-792334081,-634181942,1
157,-788443392,1565172188,1
158,-466258931,565591265,1
159,-1697787772,196169732,1
160,-912978390,-1226729677,0
161,635841897,88785648,0
162,-589862155,2027300843,1
163,1328997901,-940179101,0
164,-1572924297,1612883858,1
165,381385227,-1597098817,0
166,314990658,-977962778,0
167,627276535,894871962,1
168,792950793,1395553046,1
169,-781947664,213435117,1
170,1404088983,1410830877,1
171,-1731400512,-2024060551,0
172,3270661,211486603,1
173,661194342,-991873603,0
174,1190684216,-1268288344,0
175,-1737470409,767801994,1
176,1994809064,1666646347,0
177,-517323743,-948022348,0
178,-1534068110,-1580035544,0
179,-1365236580,1052410335,1
180,-662427656,-1087976429,0
181,1706140891,1600082228,0
182,591932806,-1941108762,0
183,498174,2105271642,1
184,1597962385,157189561,0
185,1780667292,-821195959,0
186,-496715690,-1493478142,0
187,93136068,-1613276929,0
188,-42207758,-1102212473,0
189,1692832028,-1296347741,0
190,1200445597,468894177,0
191,104077107,1096251929,1
192,-1722774233,1886822325,1
193,-1310299720,1329162725,1
194,-698651566,247022019,1
195,-913932894,-779847275,1
196,634646206,505694353,0
197,-1780725214,495850653,1
198,1202961494,1922950083,1
199,-568248488,-1992976685,0
200,2009404913,1975937180,0
201,995447064,765695007,0
202,-1592883235,-344953788,1
203,-842978608,1022008938,1
204,-408422750,1560255798,1
205,1626494941,-54843774,0
206,1970026838,-1740453516,0
207,-2103835663,2075954795,1
208,-1205625067,-351392017,1
209,1079237692,149445323,0
210,-858494260,-1234299726,0
211,1432333326,-966840697,0
212,-1315418707,-1307089980,1
213,-165496713,3185082,1
214,100356617,-743531572,0
215,63889764,-712038491,0
216,-55293464,2133706782,1
217,1631589606,685315201,0
218,1371248471,218323733,0
219,-1313880183,-842273637,1
220,-673969256,49470940,1
221,648013999,-53286401,0
222,457392253,1927589029,1
223,741343762,190681310,0
224,-338220010,-1339270665,0
225,-685543608,677572503,1
226,1373880128,-592090210,0
227,878311382,-1421554985,0
228,-572118157,-859376593,0
229,-744309459,1901164324,1
230,138385985,-1119141123,0
231,2122121389,-1447648903,0
232,526592308,971381527,1
233,-773068086,-2145777173,0
234,-1174701049,1774293157,1
235,-487150795,-698035268,0
236,-1888657268,-565882066,1
237,186137377,1220814447,1
238,340565085,1736260093,1
239,188741882,-341676277,0
240,1704133093,1264893255,0
241,-1892690560,1567526222,1
242,333911718,158090055,0
243,-2045703735,-297052182,1
244,1807059000,-1159367118,0
245,-949738997,704923043,1
246,214161133,-1153424447,0
247,-1649682505,1632233398,1
248,464008776,1142708590,1
249,1842599983,-1726461488,0
250,-1770611503,-1112827087,1
251,625325349,-1455143061,0
252,-1467039473,-1183898970,1
253,1041909917,-1423459595,0
254,1078545316,-720643269,0
255,-132162017,1227639836,1
256,1984944097,508502069,0
257,1251939176,1166521442,0
258,501719941,-1428715759,0
259,-164232552,-705328120,0
260,-941477406,1224714142,1
261,-1377578057,350648425,1
262,-1733935360,824896319,1
263,-240625313,-148977460,1
264,-1592959385,-2074244361,0
265,-1098544415,718337065,1
266,1635380389,-775509851,0
267,1640306678,616203932,0
268,926896106,-899441975,0
269,-905546982,-1771392639,0
